scene,pose_index,ego_x,ego_y,ego_z,ego_yaw,num_points_raw,num_points_valid,num_invalid_dropped,file
scene_1,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,359322.0,299435,59887.0,/content/hackathon/cleaned/scene_1/frame_000.npz
scene_1,1,-164525.171875,-129881.3671875,14278.4794921875,46.65750503540039,265171.2,220976,44195.20000000001,/content/hackathon/cleaned/scene_1/frame_001.npz
scene_1,2,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082033,320158.8,266799,53359.79999999999,/content/hackathon/cleaned/scene_1/frame_002.npz
scene_1,3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,270757.2,225631,45126.20000000001,/content/hackathon/cleaned/scene_1/frame_003.npz
scene_1,4,-146298.328125,-71516.1484375,12660.767578125,34.52610397338867,304131.6,253443,50688.59999999998,/content/hackathon/cleaned/scene_1/frame_004.npz
scene_1,5,-140508.953125,-29302.34765625,14938.9287109375,-58.1540641784668,218479.19999999998,182066,36413.19999999998,/content/hackathon/cleaned/scene_1/frame_005.npz
scene_1,6,-131119.5,-24241.548828125,12662.2333984375,-30.525184631347656,238707.59999999998,198923,39784.59999999998,/content/hackathon/cleaned/scene_1/frame_006.npz
scene_1,7,-128151.3125,-58768.8359375,12032.224609375,31.6767578125,253297.19999999998,211081,42216.19999999998,/content/hackathon/cleaned/scene_1/frame_007.npz
scene_1,8,-122197.8359375,-56510.43359375,10000.0,67.17717742919922,305380.8,254484,50896.79999999999,/content/hackathon/cleaned/scene_1/frame_008.npz
scene_1,9,-118847.6796875,-35871.97265625,10000.0,33.06077575683594,319221.6,266018,53203.59999999998,/content/hackathon/cleaned/scene_1/frame_009.npz
scene_1,10,-118569.890625,-122502.90625,13143.154296875,28.953144073486328,256536.0,213780,42756.0,/content/hackathon/cleaned/scene_1/frame_010.npz
scene_1,11,-115656.921875,-35289.77734375,10319.681640625,9.260138511657717,303922.8,253269,50653.79999999999,/content/hackathon/cleaned/scene_1/frame_011.npz
scene_1,12,-112116.7421875,-37649.80078125,10000.0,109.33391571044922,366880.8,305734,61146.79999999999,/content/hackathon/cleaned/scene_1/frame_012.npz
scene_1,13,-111886.3984375,2962.671875,13174.6552734375,-51.93439865112305,243828.0,203190,40638.0,/content/hackathon/cleaned/scene_1/frame_013.npz
scene_1,14,-110165.640625,-24621.900390625,10000.0,139.79489135742188,431167.2,359306,71861.20000000001,/content/hackathon/cleaned/scene_1/frame_014.npz
scene_1,15,-102915.515625,-16831.05859375,10000.0,87.86849212646484,341059.2,284216,56843.20000000001,/content/hackathon/cleaned/scene_1/frame_015.npz
scene_1,16,-101299.765625,10373.138671875,10355.009765625,111.11748504638672,434493.6,362078,72415.59999999998,/content/hackathon/cleaned/scene_1/frame_016.npz
scene_1,17,-101087.3359375,-136317.328125,12768.3955078125,-177.70062255859375,282675.6,235563,47112.59999999998,/content/hackathon/cleaned/scene_1/frame_017.npz
scene_1,18,-100036.1484375,47913.05078125,10373.7490234375,23.32222557067871,314637.6,262198,52439.59999999998,/content/hackathon/cleaned/scene_1/frame_018.npz
scene_1,19,-99062.65625,-63374.9296875,10000.0,164.79962158203125,314115.6,261763,52352.59999999998,/content/hackathon/cleaned/scene_1/frame_019.npz
scene_1,20,-98533.1875,-29098.298828125,10292.484375,-158.3688507080078,306926.39999999997,255772,51154.399999999965,/content/hackathon/cleaned/scene_1/frame_020.npz
scene_1,21,-92469.6953125,-164425.765625,15589.9541015625,76.2470703125,262714.8,218929,43785.79999999999,/content/hackathon/cleaned/scene_1/frame_021.npz
scene_1,22,-92232.8125,-149011.0,13479.109375,-3.968706846237183,358741.2,298951,59790.20000000001,/content/hackathon/cleaned/scene_1/frame_022.npz
scene_1,23,-88649.40625,-57051.55078125,10214.736328125,-45.13181686401367,308589.6,257158,51431.59999999998,/content/hackathon/cleaned/scene_1/frame_023.npz
scene_1,24,-86911.828125,-130535.2109375,12167.974609375,-95.62692260742188,338857.2,282381,56476.20000000001,/content/hackathon/cleaned/scene_1/frame_024.npz
scene_1,25,-86628.0859375,-136055.703125,12074.484375,-99.15970611572266,347959.2,289966,57993.20000000001,/content/hackathon/cleaned/scene_1/frame_025.npz
scene_1,26,-85595.5859375,53379.98046875,10000.0,43.75777053833008,325524.0,271270,54254.0,/content/hackathon/cleaned/scene_1/frame_026.npz
scene_1,27,-85566.75,-18547.669921875,10000.0,-171.91676330566406,320328.0,266940,53388.0,/content/hackathon/cleaned/scene_1/frame_027.npz
scene_1,28,-84915.3359375,-93814.7421875,10689.1591796875,42.368202209472656,318822.0,265685,53137.0,/content/hackathon/cleaned/scene_1/frame_028.npz
scene_1,29,-84102.0703125,53529.48828125,10000.0,92.4236068725586,350994.0,292495,58499.0,/content/hackathon/cleaned/scene_1/frame_029.npz
scene_1,30,-82847.03125,55961.34375,10000.0,-137.4200439453125,337774.8,281479,56295.79999999999,/content/hackathon/cleaned/scene_1/frame_030.npz
scene_1,31,-80904.046875,-100929.4140625,11010.845703125,-149.68438720703125,309988.8,258324,51664.79999999999,/content/hackathon/cleaned/scene_1/frame_031.npz
scene_1,32,-77521.1796875,-88575.671875,10387.4404296875,64.05915069580078,320923.2,267436,53487.20000000001,/content/hackathon/cleaned/scene_1/frame_032.npz
scene_1,33,-76505.765625,-74175.2578125,10000.0,-7.4287567138671875,345129.6,287608,57521.59999999998,/content/hackathon/cleaned/scene_1/frame_033.npz
scene_1,34,-72800.3046875,-48024.296875,10000.0,-85.90030670166016,313844.39999999997,261537,52307.399999999965,/content/hackathon/cleaned/scene_1/frame_034.npz
scene_1,35,-65866.171875,7594.62744140625,10000.0,7.791420459747314,259035.59999999998,215863,43172.59999999998,/content/hackathon/cleaned/scene_1/frame_035.npz
scene_1,36,-64603.41015625,-24595.111328125,10000.0,-14.343361854553224,289150.8,240959,48191.79999999999,/content/hackathon/cleaned/scene_1/frame_036.npz
scene_1,37,-63776.83984375,59840.0859375,10000.0,63.21255111694336,316851.6,264043,52808.59999999998,/content/hackathon/cleaned/scene_1/frame_037.npz
scene_1,38,-63424.3515625,-7159.0859375,10000.0,-24.95545959472656,290976.0,242480,48496.0,/content/hackathon/cleaned/scene_1/frame_038.npz
scene_1,39,-62918.9609375,10328.9248046875,10000.0,170.4125213623047,251100.0,209250,41850.0,/content/hackathon/cleaned/scene_1/frame_039.npz
scene_1,40,-59958.98828125,44796.69921875,10544.087890625,-33.46106719970703,266799.6,222333,44466.59999999998,/content/hackathon/cleaned/scene_1/frame_040.npz
scene_1,41,-56111.37890625,-8927.05859375,10000.0,3.962581634521485,280832.39999999997,234027,46805.399999999965,/content/hackathon/cleaned/scene_1/frame_041.npz
scene_1,42,-53179.1953125,-127628.2578125,14848.9853515625,102.2601089477539,263385.6,219488,43897.59999999998,/content/hackathon/cleaned/scene_1/frame_042.npz
scene_1,43,-52633.39453125,-65518.22265625,10076.095703125,-152.75674438476562,327924.0,273270,54654.0,/content/hackathon/cleaned/scene_1/frame_043.npz
scene_1,44,-50740.296875,37300.12890625,10000.0,22.188213348388672,333817.2,278181,55636.20000000001,/content/hackathon/cleaned/scene_1/frame_044.npz
scene_1,45,-50492.9296875,62578.98828125,10000.0,98.89835357666016,290324.39999999997,241937,48387.399999999965,/content/hackathon/cleaned/scene_1/frame_045.npz
scene_1,46,-50246.81640625,-13530.9853515625,10000.0,147.1187286376953,304797.6,253998,50799.59999999998,/content/hackathon/cleaned/scene_1/frame_046.npz
scene_1,47,-50246.3515625,-6836.97265625,10000.0,-102.770263671875,300765.6,250638,50127.59999999998,/content/hackathon/cleaned/scene_1/frame_047.npz
scene_1,48,-49352.19921875,41525.12890625,10000.0,-91.1578140258789,285642.0,238035,47607.0,/content/hackathon/cleaned/scene_1/frame_048.npz
scene_1,49,-48142.8125,-66818.2890625,13646.443359375,-160.40576171875,242858.4,202382,40476.399999999994,/content/hackathon/cleaned/scene_1/frame_049.npz
scene_1,50,-47861.19921875,-6112.09375,10000.0,-119.46662902832033,292765.2,243971,48794.20000000001,/content/hackathon/cleaned/scene_1/frame_050.npz
scene_1,51,-45510.16015625,-66656.1484375,13259.7880859375,-161.97438049316406,247143.59999999998,205953,41190.59999999998,/content/hackathon/cleaned/scene_1/frame_051.npz
scene_1,52,-44104.82421875,30009.3203125,10000.0,-7.518002510070801,278014.8,231679,46335.79999999999,/content/hackathon/cleaned/scene_1/frame_052.npz
scene_1,53,-43947.515625,14946.05078125,10000.0,-105.42675018310548,279870.0,233225,46645.0,/content/hackathon/cleaned/scene_1/frame_053.npz
scene_1,54,-42335.97265625,-15939.1611328125,10000.0,160.53561401367188,283578.0,236315,47263.0,/content/hackathon/cleaned/scene_1/frame_054.npz
scene_1,55,-42076.87109375,-1061.840087890625,10000.0,-129.26138305664062,288265.2,240221,48044.20000000001,/content/hackathon/cleaned/scene_1/frame_055.npz
scene_1,56,-36038.51953125,-14631.396484375,10000.0,-40.15648651123047,315970.8,263309,52661.79999999999,/content/hackathon/cleaned/scene_1/frame_056.npz
scene_1,57,-35134.4375,-47977.94140625,11339.3388671875,70.48961639404297,317476.8,264564,52912.79999999999,/content/hackathon/cleaned/scene_1/frame_057.npz
scene_1,58,-32334.359375,58857.66796875,11999.1259765625,-98.58969116210938,281056.8,234214,46842.79999999999,/content/hackathon/cleaned/scene_1/frame_058.npz
