scene,pose_index,frame_file,ego_x,ego_y,ego_z,ego_yaw,bbox_center_x,bbox_center_y,bbox_center_z,bbox_width,bbox_length,bbox_height,bbox_yaw,class_ID,class_label,num_points
scene_1,0,processed/scene_1/frame_000.npz,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,184.21550736065183,-0.4096333140578216,23.80722913146019,8.578015305258845,7.919074173463699,47.042493641376495,-2.503059620481374,0,Antenna,347
scene_1,1,processed/scene_1/frame_001.npz,-164525.171875,-129881.3671875,14278.4794921875,46.65750503540039,192.31469507266775,0.054857946099169,-0.4079570770263672,8.612253005425089,7.139515991837726,49.16215515136719,-2.7261504613785386,0,Antenna,411
scene_1,2,processed/scene_1/frame_002.npz,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082033,247.80851756877564,148.66087053366988,36.54386806488037,7.763289269170116,7.263739464868365,42.052560806274414,-2.7351153001828044,0,Antenna,236
scene_1,2,processed/scene_1/frame_002.npz,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082033,104.79185013236116,-0.1812056514458735,23.72237718105316,9.624733643380097,8.062128346054024,51.13231015205383,0.8596983655277203,0,Antenna,1639
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,223.08916926329013,109.73642545438594,-10.478009223937988,2.380397094091052,1.453340799085085,4.209392547607422,-2.7177444190019804,0,Antenna,18
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,121.65659677283584,-0.2613898759654505,2.2905101776123047,6.80494021563463,5.662674837682552,39.18764114379883,-2.652939254236516,0,Antenna,581
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,180.11284096213532,62.81721121154557,-14.294480958931244,4.094344172513182,12.921213943940586,2.626522762322079,0.0,1,Cable,22
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,159.8367417921919,59.39485480580463,-13.41136547554282,1.1488122877352325,5.890268389537994,1.32310074376986,0.0,1,Cable,6
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,134.80117566115894,54.48181356583069,-11.62793504541415,2.7036714167359293,5.538794143539604,1.5746901992622997,0.0,1,Cable,4
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,72.32758248954099,36.08689976446415,-7.37866260120549,3.216677766493625,8.320690008140616,1.2238148177662698,0.0,1,Cable,4
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,54.06899494413369,28.82220594866203,-5.237836319395303,1.689366310583754,3.7822708795102784,0.384234968894293,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,266.56085980968453,86.63176267197098,-30.349881720468403,0.0153610586860963,0.1758564020602193,0.0183008952468917,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,187.86764557649923,131.07466178526232,-20.00130222282089,1.2153166338767676,3.3587992327497034,0.0992191860539648,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,144.87916986677766,126.53815043258254,-18.291408487780693,5.381887767649104,16.446468374136913,1.6870564499993534,0.0,1,Cable,12
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,153.9581900303999,141.8380651637306,-9.52322771652816,0.7140010047272654,2.184008667814169,0.2979871763007899,0.0,1,Cable,6
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,142.87616049957063,126.86777301928998,-27.270814552100017,5.38940642583016,16.481654340219308,1.6887816182136035,0.0,1,Cable,15
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,157.2017566214668,141.07541349643822,-19.010185564586497,3.8387142176394775,11.342961737064542,1.1977308224666956,0.0,1,Cable,9
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,148.458768728014,133.63088487341872,-3.5475024431515694,8.738813254999457,9.4821043566875,1.094212420697533,0.0,1,Cable,16
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,154.94881542536143,142.03813563207888,-27.90914828721676,3.1673160131756504,9.62930854490699,0.9487912517285793,0.0,1,Cable,10
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,146.15208602342722,126.3536406923476,-9.245572167614776,4.898672214006183,14.698748088968586,1.426231218949928,0.0,1,Cable,17
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,171.8727355072126,117.47968942045456,-28.96336510433343,3.1095791751153143,9.615177555274188,0.2673144809117502,0.0,1,Cable,7
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,195.1797780335196,110.11483587921217,-20.369777129509536,1.769850460260443,5.379727523587945,0.1600826776529373,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,220.8268908830688,101.98230916291487,-11.722246737521989,1.1414737167980746,3.4009899235082344,0.1338399516638055,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,197.9428333359625,128.05180597559956,-29.420429557418743,0.8721372610081204,2.136474521299704,0.1094058929498693,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,286.2580529303633,80.67320615645026,-11.725859775936607,1.2461394675848965,3.615242490453454,0.1011443540775633,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,193.0617797520539,110.5031804581179,-29.443435163534414,2.5468010567527983,7.663682076678867,0.1597339291975572,0.0,1,Cable,6
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,182.4810369768564,114.28871825506845,-20.04370049001573,0.6756881008925149,2.319490643594719,0.0146142591553051,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,190.199105823238,111.97884455391988,-11.103748368006432,1.423876338252441,4.111198345172312,0.064642858216839,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,212.49039795789545,123.25467827145422,-29.78540510285428,1.8660386307982009,5.669324781437155,0.1901715835590529,0.0,1,Cable,4
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,205.7579149390382,125.23455806277256,-20.480780145401244,1.442360641661196,4.907362295086983,0.1232747883676808,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,176.3069994393893,129.37404847595295,-5.459555955116841,1.5571367178579578,4.909915791853422,0.1522029382830769,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,0.0,0.0,0.0,0.0,209.4943549686789,105.46702412810212,-20.68515208173396,1.2428147558348144,4.358763918192864,0.2115497299965696,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,180.11284096213532,62.81721121154557,-14.294480958931244,4.094344172513182,12.921213943940586,2.626522762322079,0.0,1,Cable,22
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,159.8367417921919,59.39485480580463,-13.41136547554282,1.1488122877352325,5.890268389537994,1.32310074376986,0.0,1,Cable,6
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,134.80117566115894,54.48181356583069,-11.62793504541415,2.7036714167359293,5.538794143539604,1.5746901992622997,0.0,1,Cable,4
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,72.32758248954099,36.08689976446415,-7.37866260120549,3.216677766493625,8.320690008140616,1.2238148177662698,0.0,1,Cable,4
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,54.06899494413369,28.82220594866203,-5.237836319395303,1.689366310583754,3.7822708795102784,0.384234968894293,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,266.56085980968453,86.63176267197098,-30.349881720468403,0.0153610586860963,0.1758564020602193,0.0183008952468917,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,187.86764557649923,131.07466178526232,-20.00130222282089,1.2153166338767676,3.3587992327497034,0.0992191860539648,0.0,1,Cable,3
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,144.87916986677766,126.53815043258254,-18.291408487780693,5.381887767649104,16.446468374136913,1.6870564499993534,0.0,1,Cable,12
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,153.9581900303999,141.8380651637306,-9.52322771652816,0.7140010047272654,2.184008667814169,0.2979871763007899,0.0,1,Cable,6
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,142.87616049957063,126.86777301928998,-27.270814552100017,5.38940642583016,16.481654340219308,1.6887816182136035,0.0,1,Cable,15
scene_1,3,processed/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,157.2017566214668,141.07541349643822,-19.010185564586497,3.8387142176394775,11.342961737064542,1.1977308224666956,0.0,1,Cable,9
